lately,mid_addr,cum_operaCnt,past,mid_addr,cum_operaCnt
2020,삼양이동,1028.0,2014,상예동,17.0
2019,삼양이동,817.0,2013,상예동,32.0
2018,삼양이동,640.0,2012,상예동,8.0
2023,삼양일동,239.0,2011,상예동,15.0
2022,삼양일동,251.0,2010,상예동,21.0
2021,삼양일동,227.0,2009,상예동,21.0
2020,삼양일동,134.0,2014,상효동,10.0
2019,삼양일동,228.0,2013,상효동,9.0
2018,삼양일동,147.0,2012,상효동,7.0
2023,상예동,211.0,2010,상효동,7.0
2022,상예동,99.0,2014,색달동,333.0
2021,상예동,268.0,2013,색달동,441.0
2020,상예동,182.0,2012,색달동,470.0
2019,상예동,186.0,2011,색달동,313.0
2018,상예동,165.0,2010,색달동,240.0
2023,상효동,31.0,2009,색달동,223.0
2022,상효동,87.0,2014,서귀동,6149.0
2021,상효동,55.0,2013,서귀동,5820.0
2020,상효동,75.0,2012,서귀동,5435.0
2019,상효동,45.0,2011,서귀동,5131.0
2018,상효동,40.0,2010,서귀동,4422.0
2023,색달동,858.0,2009,서귀동,4529.0
2022,색달동,1295.0,2014,서호동,179.0
2021,색달동,1305.0,2013,서호동,162.0
2020,색달동,766.0,2012,서호동,198.0
2019,색달동,1043.0,2011,서호동,145.0
2018,색달동,719.0,2010,서호동,73.0
2023,서귀동,8900.0,2009,서호동,50.0
2022,서귀동,11050.0,2014,서홍동,398.0
2021,서귀동,9405.0,2013,서홍동,347.0
2020,서귀동,9469.0,2012,서홍동,368.0
2019,서귀동,8840.0,2011,서홍동,361.0
2018,서귀동,8251.0,2010,서홍동,226.0
2023,서호동,805.0,2009,서홍동,287.0
2022,서호동,1329.0,2014,성산읍,2620.0
2021,서호동,1277.0,2013,성산읍,2163.0
2020,서호동,1212.0,2012,성산읍,1600.0
2019,서호동,1104.0,2011,성산읍,1756.0
2018,서호동,802.0,2010,성산읍,1347.0
2023,서홍동,1915.0,2009,성산읍,1372.0
2022,서홍동,1724.0,2014,신효동,6.0
2021,서홍동,1675.0,2013,신효동,5.0
2020,서홍동,1482.0,2012,신효동,4.0
2019,서홍동,1530.0,2010,신효동,12.0
2018,서홍동,1156.0,2014,아라이동,370.0
2023,성산읍,6905.0,2013,아라이동,387.0
2022,성산읍,7765.0,2012,아라이동,268.0
2021,성산읍,7596.0,2011,아라이동,168.0
2020,성산읍,6784.0,2010,아라이동,138.0
2019,성산읍,6020.0,2009,아라이동,80.0
2018,성산읍,5244.0,2014,아라일동,1086.0
2023,신효동,49.0,2013,아라일동,748.0
2022,신효동,23.0,2012,아라일동,384.0
2021,신효동,82.0,2011,아라일동,422.0
2020,신효동,33.0,2010,아라일동,176.0
2019,신효동,30.0,2009,아라일동,289.0
2018,신효동,42.0,2014,안덕면,1712.0
2023,아라이동,574.0,2013,안덕면,1505.0
2022,아라이동,936.0,2012,안덕면,1103.0
2021,아라이동,1184.0,2011,안덕면,940.0
2020,아라이동,870.0,2010,안덕면,763.0
2019,아라이동,895.0,2009,안덕면,641.0
2018,아라이동,795.0,2014,애월읍,2997.0
2023,아라일동,4123.0,2013,애월읍,2590.0
2022,아라일동,4923.0,2012,애월읍,2279.0
2021,아라일동,4292.0,2011,애월읍,1861.0
2020,아라일동,3711.0,2010,애월읍,1874.0
2019,아라일동,3176.0,2009,애월읍,1718.0
2018,아라일동,2679.0,2014,연동,9595.0
2023,안덕면,5911.0,2013,연동,8966.0
2022,안덕면,7092.0,2012,연동,8535.0
2021,안덕면,6238.0,2011,연동,8108.0
2020,안덕면,5419.0,2010,연동,7561.0
2019,안덕면,4640.0,2009,연동,7067.0
2018,안덕면,3834.0,2014,영남동,1.0
2023,애월읍,10424.0,2014,영평동,21.0
2022,애월읍,12408.0,2012,영평동,12.0
2021,애월읍,10709.0,2011,영평동,6.0
2020,애월읍,9091.0,2010,영평동,5.0
2019,애월읍,7655.0,2009,영평동,5.0
2018,애월읍,6451.0,2014,오등동,8.0
2023,연동,14521.0,2013,오등동,8.0
2022,연동,18115.0,2012,오등동,24.0
2021,연동,16818.0,2011,오등동,7.0
2020,연동,15264.0,2010,오등동,6.0
2019,연동,14034.0,2009,오등동,5.0
2018,연동,12624.0,2014,오라삼동,13.0
2023,영평동,186.0,2013,오라삼동,24.0
2022,영평동,249.0,2010,오라삼동,3.0
2021,영평동,113.0,2009,오라삼동,6.0
2020,영평동,228.0,2014,오라이동,177.0
2019,영평동,112.0,2013,오라이동,109.0
2018,영평동,198.0,2012,오라이동,77.0
2023,오등동,208.0,2011,오라이동,27.0
2022,오등동,208.0,2010,오라이동,35.0
2021,오등동,252.0,2009,오라이동,33.0
2020,오등동,65.0,2014,오라일동,173.0
2019,오등동,89.0,2013,오라일동,410.0
2018,오등동,48.0,2012,오라일동,138.0
2023,오라삼동,55.0,2011,오라일동,208.0
2021,오라삼동,101.0,2010,오라일동,113.0
2020,오라삼동,89.0,2009,오라일동,134.0
2019,오라삼동,71.0,2014,외도이동,53.0
2018,오라삼동,51.0,2013,외도이동,16.0
2023,오라이동,805.0,2012,외도이동,30.0
2022,오라이동,714.0,2011,외도이동,28.0
2021,오라이동,763.0,2010,외도이동,14.0
2020,오라이동,474.0,2009,외도이동,49.0
2019,오라이동,396.0,2014,외도일동,1177.0
2018,오라이동,364.0,2013,외도일동,982.0
2023,오라일동,468.0,2012,외도일동,837.0
2022,오라일동,358.0,2011,외도일동,451.0
2021,오라일동,339.0,2010,외도일동,508.0
2020,오라일동,479.0,2009,외도일동,311.0
2019,오라일동,228.0,2014,용담삼동,567.0
2018,오라일동,365.0,2013,용담삼동,355.0
2023,외도이동,223.0,2012,용담삼동,239.0
2022,외도이동,234.0,2011,용담삼동,187.0
2021,외도이동,137.0,2010,용담삼동,261.0
2020,외도이동,93.0,2009,용담삼동,228.0
2019,외도이동,136.0,2014,용담이동,751.0
2018,외도이동,49.0,2013,용담이동,800.0
2023,외도일동,2276.0,2012,용담이동,558.0
2022,외도일동,3287.0,2011,용담이동,787.0
2021,외도일동,3272.0,2010,용담이동,772.0
2020,외도일동,2882.0,2009,용담이동,798.0
