"시점","dt","mid_addr","sum_","avg_"
과거,"2012",해안동,4,4.0000
과거,"2011",해안동,4,4.0000
과거,"2010",해안동,4,4.0000
최근,"2023",호근동,349,58.1667
최근,"2022",호근동,294,49.0000
최근,"2021",호근동,289,41.2857
최근,"2020",호근동,180,36.0000
최근,"2019",호근동,251,31.3750
최근,"2018",호근동,232,25.7778
과거,"2014",호근동,28,14.0000
과거,"2013",호근동,44,11.0000
과거,"2012",호근동,19,9.5000
과거,"2011",호근동,8,8.0000
과거,"2010",호근동,8,8.0000
과거,"2009",호근동,13,6.5000
최근,"2023",화북이동,77,25.6667
최근,"2022",화북이동,105,21.0000
최근,"2021",화북이동,48,16.0000
최근,"2020",화북이동,52,13.0000
최근,"2019",화북이동,20,10.0000
최근,"2018",화북이동,9,9.0000
과거,"2014",화북이동,5,5.0000
과거,"2013",화북이동,21,3.0000
과거,"2012",화북이동,2,2.0000
과거,"2011",화북이동,2,2.0000
과거,"2009",화북이동,6,2.0000
최근,"2023",화북일동,2045,292.1429
최근,"2022",화북일동,3329,277.4167
최근,"2021",화북일동,2960,246.6667
최근,"2020",화북일동,2382,216.5455
최근,"2019",화북일동,2253,187.7500
최근,"2018",화북일동,1892,172.0000
과거,"2014",화북일동,1258,114.3636
과거,"2013",화북일동,928,103.1111
과거,"2012",화북일동,1019,92.6364
과거,"2011",화북일동,954,86.7273
과거,"2010",화북일동,633,79.1250
과거,"2009",화북일동,533,76.1429
최근,"2023",회수동,57,28.5000
최근,"2022",회수동,101,25.2500
최근,"2021",회수동,63,21.0000
최근,"2020",회수동,51,17.0000
최근,"2019",회수동,29,14.5000
최근,"2018",회수동,26,13.0000
과거,"2014",회수동,15,7.5000
과거,"2012",회수동,6,6.0000
최근,"2023",회천동,14,14.0000
최근,"2022",회천동,25,12.5000
최근,"2019",회천동,30,10.0000
과거,"2014",회천동,11,5.5000
과거,"2009",회천동,5,5.0000
