midAddr,past,lately,percent
건입동,4765,12676,266.02%
구좌읍,12029,51941,431.80%
남원읍,4866,9185,188.76%
노형동,18578,32717,176.11%
대정읍,7365,24498,332.63%
동홍동,4486,1545,34.44%
봉개동,1494,888,59.44%
성산읍,15597,90558,580.61%
안덕면,14300,62667,438.23%
애월읍,14220,240102,1688.48%
연동,20674,33426,161.68%
우도면,7543,22836,302.74%
조천읍,10499,107464,1023.56%
중문동,9780,19526,199.65%
표선면,5565,9727,174.79%
한경면,4003,10368,259.01%
한림읍,8932,89963,1007.20%
